cpue,catch,duration,vessel,year,week,latitude,longitude,area
1.064932574539156,8.60785,8.083,1,2018,39,58.25,-170.5,705800
1.3750044363909024,220.05571,160.04,1,2018,40,57.75,-166.5,665730
0.7031871807122643,19.13302,27.209,1,2018,40,58.25,-166.5,665800
1.6952030026760314,221.08329,130.417,1,2018,40,58.25,-167.5,675800
1.2104304984786607,283.64381,234.333,1,2018,41,57.75,-166.5,665730
0.501968,12.23547,24.375,1,2018,41,58.25,-166.5,665800
1.616145882352941,6.86862,4.25,1,2019,4,57.25,-167.5,675700
1.979131315942029,426.75019,215.625,1,2019,4,57.75,-167.5,675730
3.55959503065505,88.24948,24.792,1,2019,5,57.25,-162.5,625700
1.7997652921210372,74.76405,41.541,1,2019,5,57.25,-163.5,635700
1.227228866317169,14.98201,12.208,1,2019,5,57.25,-164.5,645700
0.6049927030971298,3.73099,6.167,1,2019,5,57.25,-166.5,665700
1.8907494866529775,14.73272,7.792,1,2019,5,57.25,-167.5,675700
2.8865592065608503,158.03623,54.749,1,2019,5,57.75,-167.5,675730
1.5754463689283331,132.07282,83.832,1,2019,6,57.25,-162.5,625700
0.8551788800000001,13.36217,15.625,1,2019,6,57.25,-163.5,635700
1.6056917113893858,10.77098,6.708,1,2019,6,57.25,-164.5,645700
2.0595197029934518,70.45205,34.208,1,2019,6,57.25,-166.5,665700
0.7546101320479991,15.02957,19.917,1,2019,6,57.75,-166.5,665730
0.75822,7.5822,10,1,2019,6,57.75,-167.5,675730
3.4000964848484854,140.25398,41.25,1,2019,7,57.75,-167.5,675730
4.448118315411148,153.46453,34.501,1,2019,7,57.75,-168.5,685730
1.4215926591877421,72.73721,51.166,1,2019,8,57.25,-167.5,675700
4.042960882796843,163.40435,40.417,1,2019,9,57.25,-167.5,675700
1.1472529749966571,17.16061,14.958,1,2019,9,57.75,-168.5,685730
1.8676079230062697,93.53354,50.082,1,2019,10,57.25,-166.5,665700
1.8109202516857619,88.35661,48.791,1,2019,10,57.25,-167.5,675700
0.5224914285714286,4.11462,7.875,1,2019,11,57.75,-166.5,665730
0.7416257425742575,18.72605,25.25,1,2019,11,57.25,-167.5,675700
0.09251999999999999,0.20817,2.25,1,2019,11,57.75,-167.5,675730
2.4261643160074957,73.79664,30.417,1,2019,11,58.25,-168.5,685800
0.6314802726312758,6.57813,10.417,1,2019,12,57.75,-168.5,685730
1.6670497304993388,32.7842,19.666,1,2019,12,58.25,-168.5,685800
